Avg_Speed,Vehicle_Count,Time_of_Day,Day_of_Week,Weather_Condition,Latitude,Longitude
31.70888657170331,3044,Morning,Weekend,Fog,37.73139569404457,-122.44085520347404
59.923495761437145,3604,Evening,Weekday,Rain,37.81308881697169,-122.42205297365544
50.63643227229346,1094,Morning,Weekend,Clear,37.74235095216484,-122.38021148304009
57.567036005834105,4084,Evening,Weekday,Rain,37.8102514783252,-122.35322193598932
12.076123492852062,213,Evening,Weekend,Fog,37.82007378425336,-122.44426407802186
23.05486563191457,481,Night,Weekday,Clear,37.74668251677546,-122.37046794444146
20.739511194957448,2860,Night,Weekend,Rain,37.791434756868405,-122.473389186617
66.39861470399188,4485,Evening,Weekday,Rain,37.72220053818415,-122.44381431707826
14.37643118974596,4528,Night,Weekday,Fog,37.76162983988178,-122.40190601829993
14.426101851883985,3280,Morning,Weekend,Clear,37.7170840315346,-122.39961027559734
38.26807764522015,4416,Afternoon,Weekend,Clear,37.74114803961257,-122.37664491080568
56.69919837593891,3998,Morning,Weekday,Fog,37.739268531605575,-122.39888454348278
12.03617447293654,2236,Morning,Weekday,Rain,37.80236314725499,-122.4051241030184
16.258493802489475,1468,Night,Weekend,Fog,37.754916211059,-122.4784159436738
61.13429400154387,1676,Afternoon,Weekday,Fog,37.83035612102544,-122.48135286282292
41.56329186324294,1760,Evening,Weekend,Rain,37.75136981670481,-122.37051242852615
68.03702730426181,1868,Afternoon,Weekday,Snow,37.81295846479636,-122.41394702890796
36.042412067725145,1756,Night,Weekday,Fog,37.7689589408292,-122.47130053710202
53.99433982020075,1916,Evening,Weekend,Clear,37.76139627108926,-122.49832394662482
49.0267941270008,2935,Afternoon,Weekend,Rain,37.81004600072567,-122.38525649327228
10.592940807874706,1246,Afternoon,Weekday,Rain,37.80778000168778,-122.43242101908446
14.15411387827113,630,Night,Weekend,Clear,37.71091583704349,-122.3505106299704
47.31089995061152,3564,Afternoon,Weekday,Fog,37.7052100827089,-122.49729361464226
20.54319447392288,2469,Afternoon,Weekend,Rain,37.712196564878255,-122.36153153499788
16.75593375216134,3322,Morning,Weekend,Snow,37.76597180343961,-122.45602615598132
57.00948375921551,3484,Morning,Weekend,Clear,37.80311933364208,-122.4008070331768
63.187097935246015,3603,Morning,Weekend,Rain,37.71272644784904,-122.47050982571666
62.52432977671963,3174,Afternoon,Weekday,Clear,37.80697567630902,-122.48988288013862
27.962391103519412,3939,Night,Weekend,Rain,37.83648258299989,-122.350696662335
65.92928372677494,2006,Night,Weekday,Fog,37.72497690646231,-122.36051191479548
29.814832767940537,1915,Evening,Weekend,Clear,37.769181559466126,-122.4986020703487
18.529888934544708,3904,Night,Weekend,Fog,37.82574726989703,-122.36518701187684
10.386644420427553,1676,Afternoon,Weekday,Fog,37.71133391012889,-122.36973215258868
33.4321400440241,4676,Afternoon,Weekday,Snow,37.78622888577527,-122.4361565072197
20.267820698121344,1653,Afternoon,Weekend,Clear,37.800014898848254,-122.36456899075144
31.78390198025985,4875,Night,Weekend,Rain,37.83949825073628,-122.37621898196058
59.01568444998853,1861,Morning,Weekend,Clear,37.77147762128858,-122.47971037308452
14.001903183129604,857,Evening,Weekend,Clear,37.79374020695313,-122.38582056426152
51.85103422042008,3309,Evening,Weekend,Fog,37.786362562161926,-122.39156882094017
69.03445835356592,2770,Morning,Weekday,Snow,37.83539127291631,-122.3932698758584
26.3283747488194,1963,Night,Weekend,Fog,37.77674454096317,-122.40925170144368
12.304265812231533,4424,Night,Weekday,Clear,37.7442596693332,-122.43463567829444
37.99280748867339,2028,Evening,Weekday,Snow,37.83228793894636,-122.4728081599696
69.01738319847237,3768,Morning,Weekday,Rain,37.712886998434,-122.45220286601452
38.90202957203656,4523,Morning,Weekend,Clear,37.83241076462623,-122.3769837204474
48.75812675430117,3950,Afternoon,Weekend,Clear,37.75829529668332,-122.44919101740606
39.52291766567646,4073,Afternoon,Weekend,Snow,37.757919602612304,-122.4682195603016
19.79047058935178,606,Morning,Weekday,Clear,37.75941574383009,-122.46904205708668
12.389859388989834,3886,Evening,Weekday,Rain,37.76828909383532,-122.44908924129372
46.4756771177578,4380,Afternoon,Weekday,Clear,37.772882452936685,-122.38303953700544
25.544724241220933,1572,Evening,Weekend,Rain,37.83266282688732,-122.44378667393896
60.00773568680948,3684,Morning,Weekday,Snow,37.71601046159061,-122.38646282819082
40.278037441351984,799,Evening,Weekend,Snow,37.840564544568295,-122.4242944564567
25.00209998732861,4701,Afternoon,Weekend,Clear,37.76189059402228,-122.37932075139608
16.686119227667888,3380,Night,Weekend,Snow,37.73928169344626,-122.4472992071514
62.57273222153073,1934,Evening,Weekend,Clear,37.82956393862644,-122.39799207177936
64.95863986760286,961,Night,Weekend,Clear,37.74660992752817,-122.44493116964208
27.113818647982065,3109,Morning,Weekend,Snow,37.713715930259866,-122.35570033617438
52.50043386306273,3696,Afternoon,Weekday,Clear,37.83115924907511,-122.3896125875391
39.99791651258169,2060,Night,Weekend,Snow,37.70322686877528,-122.36094780264348
23.113504065444246,1254,Evening,Weekend,Rain,37.75644361335951,-122.36439877885977
28.398754416196983,3997,Afternoon,Weekday,Fog,37.741415949438505,-122.44607816910435
60.81646298142059,1075,Night,Weekend,Fog,37.79039209517076,-122.49491526626704
35.50413979157503,4425,Night,Weekend,Snow,37.787045776887965,-122.4291960129539
45.48764914239772,3040,Morning,Weekday,Rain,37.84003694343087,-122.47378896209943
56.52594288746917,411,Night,Weekend,Clear,37.73878760194244,-122.36554763391337
19.923687290615693,3669,Morning,Weekday,Clear,37.7894257709809,-122.40128442068703
28.460804345586187,4025,Morning,Weekend,Clear,37.7682977737168,-122.4759564762868
55.5657607459544,771,Morning,Weekday,Fog,37.70782522501238,-122.44813040457292
54.68344882863025,1823,Afternoon,Weekend,Snow,37.81422394874167,-122.3620497030677
18.82923322011115,3357,Evening,Weekend,Fog,37.84938347745618,-122.36168035340432
22.871974891186767,4549,Morning,Weekday,Rain,37.7377436866614,-122.39513643156847
64.56994291948979,1217,Morning,Weekend,Rain,37.82177807553442,-122.41570066985004
52.24997317977291,4847,Morning,Weekend,Clear,37.78108928268242,-122.42552451158669
22.56631497379661,561,Afternoon,Weekday,Rain,37.70367045611209,-122.3615442492043
36.69758100268878,1200,Night,Weekday,Clear,37.73490347017288,-122.40597213729136
31.068205842713255,1296,Morning,Weekend,Fog,37.82894137018726,-122.45411614749553
32.85220125420254,1584,Evening,Weekend,Clear,37.769232214982345,-122.38546206686688
35.75814648238283,2633,Night,Weekend,Fog,37.82427213292612,-122.41541404503997
33.61933838697159,3908,Night,Weekend,Fog,37.81094766339316,-122.42537553891864
68.78346017483172,1382,Evening,Weekend,Clear,37.79200283664598,-122.3978495834174
48.68493538421077,1885,Morning,Weekend,Snow,37.76201585818131,-122.4183496017918
27.35094564105916,4831,Morning,Weekday,Snow,37.8318689769749,-122.4908373204277
59.67060094482781,3174,Evening,Weekend,Fog,37.84293927498488,-122.4373119320683
22.411730340434115,1521,Afternoon,Weekday,Clear,37.82576467937512,-122.35506135864216
37.45700154950614,502,Afternoon,Weekend,Clear,37.75297251228742,-122.39547614275132
54.21218315587637,2692,Night,Weekend,Fog,37.78316853552087,-122.4056212988192
38.45874317701509,1588,Evening,Weekday,Fog,37.73896335586163,-122.35141650641506
56.51592882317616,72,Night,Weekday,Fog,37.750467398385766,-122.44137767827227
36.27242249396928,671,Night,Weekend,Rain,37.72622263185328,-122.46175652078138
65.81784137791354,3062,Night,Weekend,Snow,37.77513249264845,-122.4852347144416
11.543413244236527,4683,Afternoon,Weekday,Fog,37.77037381876602,-122.37930729347912
27.99752387803251,4316,Morning,Weekend,Snow,37.77292215876976,-122.48308891849253
34.625042282881914,2831,Afternoon,Weekend,Fog,37.80415974314488,-122.45232740993744
27.95408875248415,2101,Afternoon,Weekday,Fog,37.74320313392758,-122.40971540730132
20.58639384749809,3670,Evening,Weekday,Snow,37.73157731089953,-122.3870342825836
20.369165319849948,1685,Night,Weekend,Clear,37.74649018958661,-122.39195984365983
51.63215443049046,3678,Afternoon,Weekend,Fog,37.82662636002448,-122.39225392802344
35.47057547922852,2758,Evening,Weekend,Snow,37.73393663919826,-122.42463510827366
29.93828991008512,3249,Morning,Weekend,Snow,37.81458232090244,-122.45100690077952
14.966247013968506,1631,Morning,Weekday,Snow,37.76707838979333,-122.4557615729731
16.338069723568225,627,Night,Weekday,Snow,37.77194614827116,-122.49613408795126
46.65462303245164,1359,Afternoon,Weekend,Snow,37.76657871806992,-122.39334198484023
62.49148295980808,1915,Night,Weekend,Clear,37.759904237028266,-122.44741476121123
30.70478207120544,1040,Afternoon,Weekend,Clear,37.743655262114174,-122.49495668990616
42.27219120314824,55,Night,Weekday,Clear,37.83077940674514,-122.49784797845372
40.84575428573992,1460,Afternoon,Weekend,Rain,37.76583877732693,-122.3665337434816
14.423151529846956,1462,Evening,Weekday,Fog,37.80408937938136,-122.46225957225828
23.52314489578639,4311,Evening,Weekday,Snow,37.82209629928736,-122.47276369304564
12.977264093429945,3283,Morning,Weekend,Fog,37.738933584627226,-122.43167355350326
25.29297853003356,2428,Night,Weekday,Fog,37.71383073845673,-122.46866645691968
40.1809772360326,4160,Evening,Weekday,Rain,37.742878752412985,-122.40639246706677
